element_id,tests,docs,examples,missing
pw_log_tokenized/pw::log_tokenized::GenericMetadata::level,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata::line_number,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata::module,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata::value,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::ParseFields,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::PrefixedBase64Encode,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::internal::BitField,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::internal::BitField::Get,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::internal::BitField::Shift,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::tokenizer::Base64EncodedBufferSize,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw_log_tokenized_HandleLog,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw_log_tokenized_HandleLogWithoutMetadata,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/static_assert,0,0,0,"docs.reference|examples|tests"
