element_id,tests,docs,examples,missing
ffx component config unset,0,1,1,"tests"
ffx component config unset --reload,0,1,0,"examples|tests"
ffx component copy,0,5,1,"tests"
ffx component copy --verbose,0,1,0,"examples|tests"
ffx component create,2,2,1,""
ffx component create --config,2,1,0,"examples"
ffx component debug,0,1,1,"tests"
ffx component destroy,3,2,1,""
ffx component doctor,0,1,1,"tests"
ffx component doctor --plain,0,1,0,"examples|tests"
ffx component explore,0,2,1,"tests"
ffx component explore --command,0,1,0,"examples|tests"
ffx component explore --layout,0,1,0,"examples|tests"
ffx component explore --tools,0,2,0,"examples|tests"
ffx component graph,0,1,1,"tests"
ffx component graph --only,0,1,1,"tests"
ffx component graph --orientation,0,1,1,"tests"
ffx component list,8,2,1,""
ffx component list --only,0,1,1,"tests"
ffx component list --verbose,0,1,0,"examples|tests"
ffx component reload,0,1,1,"tests"
ffx component resolve,0,1,1,"tests"
ffx component route,0,1,1,"tests"
ffx component run,4,3,2,""
ffx component run --config,2,1,0,"examples"
ffx component run --connect-stdio,0,1,0,"examples|tests"
ffx component run --follow-logs,0,1,0,"examples|tests"
ffx component run --recreate,0,1,0,"examples|tests"
ffx component show,2,2,1,""
ffx component start,2,2,1,""
ffx component start --debug,0,1,1,"tests"
ffx component stop,1,2,1,""
ffx component storage,1,2,5,""
ffx component storage --capability,0,1,3,"tests"
ffx component storage --provider,0,1,3,"tests"
ffx component storage copy,0,2,1,"tests"
ffx component storage delete,0,1,1,"tests"
ffx component storage delete-all,0,1,1,"tests"
ffx component storage list,0,2,1,"tests"
ffx component storage make-directory,0,2,1,"tests"
ffx config,49,7,8,""
ffx config add,0,1,0,"examples|tests"
ffx config analytics,0,1,0,"examples|tests"
ffx config analytics disable,0,1,0,"examples|tests"
ffx config analytics enable,0,1,0,"examples|tests"
ffx config analytics enable-enhanced,0,1,0,"examples|tests"
ffx config analytics show,0,1,0,"examples|tests"
ffx config check-ssh-keys,0,3,0,"examples|tests"
ffx config env,1,2,1,""
ffx config env get,1,1,0,"examples"
ffx config env set,0,1,1,"tests"
ffx config env set --level,0,1,1,"tests"
ffx config get,5,5,1,""
ffx config get --process,0,1,0,"examples|tests"
ffx config get --select,0,1,0,"examples|tests"
ffx config remove,0,1,0,"examples|tests"
ffx config set,5,6,6,""
ffx coverage,9,1,0,"examples"
ffx coverage --clang-dir,0,1,0,"examples|tests"
ffx coverage --compilation-dir,0,1,0,"examples|tests"
ffx coverage --export-html,0,1,0,"examples|tests"
ffx coverage --export-json,0,1,0,"examples|tests"
ffx coverage --export-lcov,0,1,0,"examples|tests"
ffx coverage --path-remappings,0,1,0,"examples|tests"
ffx coverage --symbol-index-json,0,1,0,"examples|tests"
ffx coverage --test-output-dir,0,1,0,"examples|tests"
ffx coverage --verbose,0,1,0,"examples|tests"
ffx daemon,11,2,1,""
ffx daemon crash,1,1,0,"examples"
ffx daemon disconnect,1,1,0,"examples"
ffx daemon echo,4,1,0,"examples"
ffx daemon hang,1,1,0,"examples"
ffx daemon log,5,1,0,"examples"
ffx daemon log --follow,0,1,0,"examples|tests"
ffx daemon log --line-count,0,1,0,"examples|tests"
ffx daemon socket,1,1,0,"examples"
ffx daemon start,2,2,1,""
ffx daemon start --background,0,1,0,"examples|tests"
ffx daemon start --path,0,1,0,"examples|tests"
ffx daemon stop,3,2,0,"examples"
ffx daemon stop --no-wait,0,1,0,"examples|tests"
ffx daemon stop --timeout-ms,0,1,0,"examples|tests"
ffx daemon stop --wait,0,1,0,"examples|tests"
ffx debug,1,5,0,"examples"
ffx debug connect,0,2,0,"examples|tests"
ffx debug connect --agent-only,0,1,0,"examples|tests"
ffx debug connect --attach,0,1,0,"examples|tests"
ffx debug connect --debugger,0,1,0,"examples|tests"
ffx debug connect --execute,0,1,0,"examples|tests"
ffx debug connect --new-agent,0,1,0,"examples|tests"
ffx debug core,0,1,0,"examples|tests"
ffx debug core --zxdb-args,0,1,0,"examples|tests"
ffx debug crash,0,1,0,"examples|tests"
ffx debug fidl,0,2,0,"examples|tests"
ffx debug fidl --dump-messages,0,1,0,"examples|tests"
ffx debug fidl --exclude-messages,0,1,0,"examples|tests"
ffx debug fidl --exclude-syscalls,0,1,0,"examples|tests"
ffx debug fidl --extra-component,0,1,0,"examples|tests"
ffx debug fidl --extra-name,0,1,0,"examples|tests"
ffx debug fidl --fidl-ir-path,0,2,0,"examples|tests"
ffx debug fidl --format,0,1,0,"examples|tests"
ffx debug fidl --from,0,1,0,"examples|tests"
ffx debug fidl --messages,0,1,0,"examples|tests"
ffx debug fidl --remote-component,0,1,0,"examples|tests"
ffx debug fidl --remote-name,0,1,0,"examples|tests"
ffx debug fidl --remote-pid,0,1,0,"examples|tests"
ffx debug fidl --stack,0,1,0,"examples|tests"
ffx debug fidl --stay-alive,0,1,0,"examples|tests"
ffx debug fidl --syscalls,0,1,0,"examples|tests"
ffx debug fidl --thread,0,1,0,"examples|tests"
ffx debug fidl --to,0,1,0,"examples|tests"
ffx debug fidl --trigger,0,1,0,"examples|tests"
ffx debug fidl --with,0,1,0,"examples|tests"
ffx debug fidl --with-process-info,0,1,0,"examples|tests"
ffx debug limbo,0,1,0,"examples|tests"
ffx debug limbo disable,0,1,0,"examples|tests"
ffx debug limbo enable,0,1,0,"examples|tests"
ffx debug limbo list,0,1,0,"examples|tests"
ffx debug limbo release,0,1,0,"examples|tests"
ffx debug limbo status,0,1,0,"examples|tests"
ffx debug symbol-index,4,2,0,"examples"
ffx debug symbol-index add,1,2,0,"examples"
ffx debug symbol-index add --build-dir,0,1,0,"examples|tests"
ffx debug symbol-index clean,0,2,0,"examples|tests"
ffx debug symbol-index list,0,2,0,"examples|tests"
ffx debug symbol-index list --aggregated,0,1,0,"examples|tests"
ffx debug symbol-index remove,0,2,0,"examples|tests"
ffx debug symbolize,0,2,0,"examples|tests"
ffx debug symbolize --auth,0,1,0,"examples|tests"
ffx debug symbolize --no-prettify,0,1,0,"examples|tests"
ffx doctor,27,2,1,""
ffx doctor --no-config,0,1,0,"examples|tests"
ffx doctor --output-dir,0,1,1,"tests"
ffx doctor --record,0,1,1,"tests"
ffx doctor --repair-keys,0,1,0,"examples|tests"
ffx doctor --restart-daemon,0,1,0,"examples|tests"
ffx doctor --retry-count,0,1,0,"examples|tests"
ffx doctor --retry-delay,0,1,0,"examples|tests"
ffx doctor --verbose,0,1,0,"examples|tests"
ffx driver,1,2,0,"examples"
ffx driver --select,0,1,0,"examples|tests"
ffx driver composite,0,1,0,"examples|tests"
ffx driver composite list,0,1,0,"examples|tests"
ffx driver composite list --only,0,1,0,"examples|tests"
ffx driver composite list --verbose,0,1,0,"examples|tests"
ffx driver composite show,0,1,0,"examples|tests"
ffx driver disable,0,2,0,"examples|tests"
ffx driver disable --select,0,1,0,"examples|tests"
ffx driver doctor,0,1,0,"examples|tests"
ffx driver doctor --composite-node-spec,0,1,0,"examples|tests"
ffx driver doctor --driver,0,1,0,"examples|tests"
ffx driver doctor --node,0,1,0,"examples|tests"
ffx driver doctor --select,0,1,0,"examples|tests"
ffx driver dump,0,2,0,"examples|tests"
ffx driver dump --graph,0,1,0,"examples|tests"
ffx driver dump --select,0,1,0,"examples|tests"
ffx driver host,0,1,0,"examples|tests"
ffx driver host list,0,1,0,"examples|tests"
ffx driver host show,0,1,0,"examples|tests"
ffx driver host show --runtime,0,1,0,"examples|tests"
ffx driver host show --select,0,1,0,"examples|tests"
ffx driver host show --stack-trace,0,1,0,"examples|tests"
ffx driver list,1,2,0,"examples"
ffx driver list --loaded,0,2,0,"examples|tests"
ffx driver list --select,0,1,0,"examples|tests"
ffx driver list --verbose,0,1,0,"examples|tests"
ffx driver list-composite-node-specs,0,2,0,"examples|tests"
ffx driver list-composite-node-specs --name,0,1,0,"examples|tests"
ffx driver list-composite-node-specs --select,0,1,0,"examples|tests"
ffx driver list-composite-node-specs --verbose,0,1,0,"examples|tests"
ffx driver list-composites,0,2,0,"examples|tests"
ffx driver list-composites --select,0,1,0,"examples|tests"
ffx driver list-composites --verbose,0,1,0,"examples|tests"
ffx driver list-devices,0,1,0,"examples|tests"
ffx driver list-devices --exact,0,1,0,"examples|tests"
ffx driver list-devices --fail-on-missing,0,1,0,"examples|tests"
ffx driver list-devices --select,0,1,0,"examples|tests"
ffx driver list-devices --unbound,0,1,0,"examples|tests"
ffx driver list-devices --verbose,0,1,0,"examples|tests"
ffx driver list-hosts,0,2,0,"examples|tests"
ffx driver list-hosts --select,0,1,0,"examples|tests"
ffx driver node,0,2,0,"examples|tests"
ffx driver node add,0,1,0,"examples|tests"
ffx driver node graph,0,2,0,"examples|tests"
ffx driver node graph --html,0,2,0,"examples|tests"
ffx driver node graph --only,0,1,0,"examples|tests"
ffx driver node graph --orientation,0,1,0,"examples|tests"
ffx driver node graph --services,0,2,0,"examples|tests"
ffx driver node graph --svg,0,1,0,"examples|tests"
ffx driver node list,0,2,0,"examples|tests"
ffx driver node list --fail-on-missing,0,1,0,"examples|tests"
ffx driver node list --only,0,1,0,"examples|tests"
ffx driver node list --verbose,0,1,0,"examples|tests"
ffx driver node remove,0,1,0,"examples|tests"
ffx driver node show,0,2,0,"examples|tests"
ffx driver register,0,2,0,"examples|tests"
ffx driver register --select,0,1,0,"examples|tests"
ffx driver restart,0,1,0,"examples|tests"
ffx driver restart --select,0,1,0,"examples|tests"
ffx driver show,0,1,0,"examples|tests"
ffx driver show --select,0,1,0,"examples|tests"
ffx driver static-checks,0,1,0,"examples|tests"
ffx driver static-checks --driver,0,1,0,"examples|tests"
ffx driver test-node,0,1,0,"examples|tests"
ffx driver test-node --select,0,1,0,"examples|tests"
ffx driver test-node add,0,1,0,"examples|tests"
ffx driver test-node remove,0,1,0,"examples|tests"
ffx efi,0,1,0,"examples|tests"
ffx efi create,0,1,0,"examples|tests"
ffx efi create --bootdata,0,1,0,"examples|tests"
ffx efi create --cmdline,0,1,0,"examples|tests"
ffx efi create --efi-bootloader,0,1,0,"examples|tests"
ffx efi create --output,0,1,0,"examples|tests"
ffx efi create --zedboot,0,1,0,"examples|tests"
ffx efi create --zircon,0,1,0,"examples|tests"
ffx emu,1,4,5,""
ffx emu console,0,1,1,"tests"
ffx emu console --command,0,1,0,"examples|tests"
ffx emu console --console-type,0,1,0,"examples|tests"
ffx emu console --machine,0,1,0,"examples|tests"
ffx emu console --serial,0,1,0,"examples|tests"
ffx emu list,0,2,0,"examples|tests"
ffx emu list --only-running,0,1,0,"examples|tests"
ffx emu screenshot,0,1,1,"tests"
ffx emu screenshot --output,0,1,1,"tests"
ffx emu show,0,2,0,"examples|tests"
ffx emu show --all,0,1,0,"examples|tests"
ffx emu show --cmd,0,1,0,"examples|tests"
ffx emu show --config,0,1,0,"examples|tests"
ffx emu show --device,0,1,0,"examples|tests"
ffx emu show --instance,0,1,0,"examples|tests"
ffx emu show --net,0,1,0,"examples|tests"
ffx emu start,1,4,2,""
ffx emu start --accel,0,1,0,"examples|tests"
ffx emu start --config,0,1,0,"examples|tests"
ffx emu start --console,0,2,0,"examples|tests"
ffx emu start --debugger,0,1,0,"examples|tests"
ffx emu start --dev-config,0,1,0,"examples|tests"
ffx emu start --device,0,1,0,"examples|tests"
ffx emu start --device-list,0,1,0,"examples|tests"
ffx emu start --dry-run,0,1,0,"examples|tests"
ffx emu start --edit,0,1,0,"examples|tests"
ffx emu start --engine,0,2,0,"examples|tests"
ffx emu start --gpu,0,1,0,"examples|tests"
ffx emu start --headless,1,3,0,"examples"
ffx emu start --hidpi-scaling,0,1,0,"examples|tests"
ffx emu start --kernel-args,1,1,0,"examples"
ffx emu start --log,1,1,0,"examples"
ffx emu start --name,1,2,1,""
ffx emu start --net,1,2,1,""
ffx emu start --port-map,0,2,0,"examples|tests"
ffx emu start --reuse,0,1,0,"examples|tests"
ffx emu start --reuse-with-check,0,1,0,"examples|tests"
ffx emu start --smp,0,1,0,"examples|tests"
ffx emu start --stage,0,1,0,"examples|tests"
ffx emu start --startup-timeout,1,1,0,"examples"
ffx emu start --uefi,0,2,0,"examples|tests"
ffx emu start --vbmeta-key,0,1,0,"examples|tests"
ffx emu start --vbmeta-key-metadata,0,1,0,"examples|tests"
ffx emu start --verbose,0,1,0,"examples|tests"
ffx emu stop,0,2,1,"tests"
ffx emu stop --all,0,2,1,"tests"
ffx emu stop --persist,0,2,0,"examples|tests"
ffx fuzz,18,1,0,"examples"
ffx fuzz add,0,1,0,"examples|tests"
ffx fuzz add --no-stderr,0,1,0,"examples|tests"
ffx fuzz add --no-stdout,0,1,0,"examples|tests"
ffx fuzz add --no-syslog,0,1,0,"examples|tests"
ffx fuzz add --output,0,1,0,"examples|tests"
ffx fuzz add --quiet,0,1,0,"examples|tests"
ffx fuzz add --seed,0,1,0,"examples|tests"
ffx fuzz cleanse,0,1,0,"examples|tests"
ffx fuzz cleanse --no-stderr,0,1,0,"examples|tests"
ffx fuzz cleanse --no-stdout,0,1,0,"examples|tests"
ffx fuzz cleanse --no-syslog,0,1,0,"examples|tests"
ffx fuzz cleanse --output,0,1,0,"examples|tests"
ffx fuzz cleanse --quiet,0,1,0,"examples|tests"
ffx fuzz fetch,0,1,0,"examples|tests"
ffx fuzz fetch --no-stderr,0,1,0,"examples|tests"
ffx fuzz fetch --no-stdout,0,1,0,"examples|tests"
ffx fuzz fetch --no-syslog,0,1,0,"examples|tests"
ffx fuzz fetch --output,0,1,0,"examples|tests"
ffx fuzz fetch --quiet,0,1,0,"examples|tests"
ffx fuzz fetch --seed,0,1,0,"examples|tests"
ffx fuzz get,0,1,0,"examples|tests"
ffx fuzz get --no-stderr,0,1,0,"examples|tests"
ffx fuzz get --no-stdout,0,1,0,"examples|tests"
ffx fuzz get --no-syslog,0,1,0,"examples|tests"
ffx fuzz get --output,0,1,0,"examples|tests"
ffx fuzz get --quiet,0,1,0,"examples|tests"
ffx fuzz list,0,1,0,"examples|tests"
ffx fuzz list --json-file,0,1,0,"examples|tests"
ffx fuzz list --pattern,0,1,0,"examples|tests"
ffx fuzz merge,0,1,0,"examples|tests"
ffx fuzz merge --no-stderr,0,1,0,"examples|tests"
ffx fuzz merge --no-stdout,0,1,0,"examples|tests"
ffx fuzz merge --no-syslog,0,1,0,"examples|tests"
ffx fuzz merge --output,0,1,0,"examples|tests"
ffx fuzz merge --quiet,0,1,0,"examples|tests"
ffx fuzz minimize,0,1,0,"examples|tests"
ffx fuzz minimize --no-stderr,0,1,0,"examples|tests"
ffx fuzz minimize --no-stdout,0,1,0,"examples|tests"
ffx fuzz minimize --no-syslog,0,1,0,"examples|tests"
ffx fuzz minimize --output,0,1,0,"examples|tests"
ffx fuzz minimize --quiet,0,1,0,"examples|tests"
ffx fuzz minimize --runs,0,1,0,"examples|tests"
ffx fuzz minimize --time,0,1,0,"examples|tests"
ffx fuzz run,0,1,0,"examples|tests"
ffx fuzz run --no-stderr,0,1,0,"examples|tests"
ffx fuzz run --no-stdout,0,1,0,"examples|tests"
ffx fuzz run --no-syslog,0,1,0,"examples|tests"
ffx fuzz run --output,0,1,0,"examples|tests"
ffx fuzz run --quiet,0,1,0,"examples|tests"
ffx fuzz run --runs,0,1,0,"examples|tests"
ffx fuzz run --time,0,1,0,"examples|tests"
ffx fuzz set,0,1,0,"examples|tests"
ffx fuzz set --no-stderr,0,1,0,"examples|tests"
ffx fuzz set --no-stdout,0,1,0,"examples|tests"
ffx fuzz set --no-syslog,0,1,0,"examples|tests"
ffx fuzz set --output,0,1,0,"examples|tests"
ffx fuzz set --quiet,0,1,0,"examples|tests"
ffx fuzz shell,20,1,0,"examples"
